Catégorie,Définition Catégorie,Sous-Catégorie,Compte,Définition Sous-Catégorie
Actif,"Un actif est un bien ou un droit que possède une entreprise, qui peut générer des bénéfices futurs.

1. Un bâtiment utilisé pour les opérations de l'entreprise. 2. Des machines pour la production de biens. 3. Des véhicules pour la livraison. 4. Des stocks de produits à vendre. 5. Des brevets qui protègent des inventions. 6. Des meubles de bureau comme des chaises et des tables. 7. Des ordinateurs et équipements technologiques. 8. Des créances, c'est-à-dire des sommes dues par des clients. 9. Des investissements dans d'autres entreprises. 10. Des terrains détenus pour bâtir ou vendre. 11. Des marques déposées qui apportent une valeur à l'entreprise. 12. Des logiciels achetés pour améliorer les opérations. 13. Des œuvres d'art ou objets de collection appartenant à l'entreprise. 14. Des dépôts bancaires qui peuvent être utilisés à tout moment. 15. Des contrats d'assurance qui garantissent des actifs.",Subventions à recevoir,1150,Ce compte enregistre les subventions dues à l'entreprise.
Actif,"L'actif désigne tous les biens et ressources possédés par une entreprise, qui ont une valeur économique et peuvent générer des bénéfices futurs.

1. Un bâtiment utilisé pour les opérations de l'entreprise.
2. Des machines et équipements nécessaires à la production.
3. Des véhicules pour la livraison des produits.
4. Des stocks de marchandises en attente de vente.
5. Un compte bancaire contenant des fonds disponibles.
6. Des créances clients, c'est-à-dire de l'argent que les clients doivent à l'entreprise.
7. Des brevets ou droits d'auteur qui génèrent des revenus. 
8. Des investissements dans d'autres entreprises.
9. Des terrains possédés par l'entreprise.
10. Des logiciels utilisés pour la gestion des opérations. 
11. Des meubles de bureau et matériel informatique. 
12. Des parts de marché que l'entreprise contrôle. 
13. Des contrats de location à long terme. 
14. Des prépaiements pour des services futurs. 
15. Des œuvres d'art ou objets de valeur détenus par l'entreprise.",Frais payés d’avance - taxes,1160,Ce compte enregistre les frais payés d’avance liés aux taxes.
Actif,"Un actif est un bien ou un droit possédé par une entreprise, qui a de la valeur et peut générer des bénéfices futurs.

1. Un bâtiment utilisé pour les opérations de l'entreprise.
2. Des machines qui produisent des biens.
3. Des véhicules pour la livraison.
4. Des ordinateurs et équipements technologiques.
5. Des stocks de marchandises à vendre.
6. De l'argent liquide dans un compte bancaire.
7. Des créances clients, c'est-à-dire de l'argent dû par des clients.
8. Des brevets sur une invention.
9. Des investissements dans d'autres entreprises.
10. Des terrains achetés pour construire un nouveau bureau.
11. Des meubles et fournitures de bureau.
12. Des licences de logiciels.
13. Des actions détenues dans une autre société.
14. Des comptes de dépôt à terme.
15. Des droits d'auteur sur des œuvres créatives.",Frais payés d’avance - assurances,1165,Ce compte enregistre les frais d’assurance payés d’avance.
Actif,"L'actif représente tout ce que possède une entreprise, incluant les biens matériels et immatériels qui ont de la valeur et qui peuvent être utilisés pour générer des revenus.

1. Un bâtiment utilisé pour les opérations de l'entreprise. 2. Des machines et équipements pour la production. 3. Des véhicules pour la livraison. 4. Un terrain acheté pour construire de nouvelles installations. 5. Des stocks de produits destinés à la vente. 6. Des brevets et droits de propriété intellectuelle. 7. Des comptes clients, représentant l'argent dû par les clients. 8. Des investissements dans d'autres entreprises. 9. Du matériel informatique utilisé par les employés. 10. Des logiciels acquis pour améliorer la productivité. 11. Des meubles et aménagements dans les bureaux. 12. Des fonds de caisse pour les opérations quotidiennes. 13. Des œuvres d'art ou objets de valeur détenus par l'entreprise. 14. Des contrats de location pour des biens immobiliers. 15. Des visuels ou marques déposées qui génèrent des revenus.",Frais payés d’avance - publicité,1170,Ce compte enregistre les frais de publicité payés d’avance.
Actif,"Un actif est tout ce que possède une entreprise et qui a de la valeur, pouvant être utilisé pour générer des revenus ou des bénéfices.

1. Une machine utilisée pour fabriquer des produits. 2. Un bâtiment où l'entreprise exerce son activité. 3. Des véhicules pour la livraison. 4. Du matériel informatique comme des ordinateurs et des serveurs. 5. Des stocks de marchandises à vendre. 6. Des brevets ou des droits d'auteur que l'entreprise détient. 7. Des investissements dans d'autres entreprises. 8. Des comptes bancaires avec des fonds disponibles. 9. Des créances clients, c'est-à-dire de l'argent dû par des clients. 10. Des équipements de bureau comme des meubles et des fournitures. 11. Des terrains appartenant à l'entreprise. 12. Un site web ou une application génératrice de revenus. 13. Des licences ou des autorisations de fonctionnement. 14. Des actions ou obligations détenues. 15. Des ressources humaines, comme des employés qualifiés.",T.P.S. à récupérer,1180,Ce compte enregistre la taxe sur les produits et services récupérable.
Actif,"Un actif est un bien ou un droit possédé par une entreprise qui a de la valeur et peut être utilisé pour générer des revenus.

1. Un bâtiment utilisé pour les opérations de l'entreprise. 2. Des machines pour la production de biens. 3. Des véhicules de livraison. 4. Des ordinateurs et équipements informatiques. 5. Des stocks de produits à vendre. 6. Des brevets ou droits de propriété intellectuelle. 7. Des liquidités en banque. 8. Des comptes clients, représentant l'argent dû par les clients. 9. Des terrains possédés par l'entreprise. 10. Des meubles et agencements dans les bureaux. 11. Des investissements en actions ou obligations. 12. Un logiciel développé pour les besoins de l'entreprise. 13. Des contrats à long terme avec des clients. 14. Des droits d'utilisation de ressources naturelles. 15. Des œuvres d'art exposées dans les locaux de l'entreprise.",T.V.Q. à récupérer,1190,Ce compte enregistre la taxe de vente du Québec récupérable.
Actif,"Un actif est un bien ou un droit détenu par une entreprise, qui a de la valeur et peut être utilisé pour générer des revenus.

1. Un bâtiment acheté pour les opérations de l'entreprise.
2. Du matériel informatique utilisé pour le travail quotidien.
3. Des véhicules pour la livraison des produits.
4. Des stocks de marchandises destinées à la vente.
5. Des comptes clients représentant des ventes à crédit.
6. Des brevets et des marques déposées qui protègent des inventions.
7. De l'argent liquide disponible dans la caisse.
8. Des investissements dans d'autres entreprises.
9. Des terrains possédés pour la construction future.
10. Des logiciels achetés pour améliorer la productivité.
11. Des meubles de bureau utilisés dans les locaux de l'entreprise.
12. Des créances à recevoir de clients pour des services rendus.
13. Des équipements de production utilisés dans une usine.
14. Des droits d'auteur sur des œuvres créées par l'entreprise.
15. Des stocks de matières premières nécessaires à la fabrication.",Dépôts,1200,Ce compte enregistre les dépôts effectués par l'entreprise.
Actif,"Un actif est un bien ou un droit possédé par une entreprise, qui peut générer des bénéfices futurs.

1. Un bâtiment utilisé par l'entreprise pour ses opérations. 2. Des machines pour la production. 3. Un véhicule de livraison. 4. Des ordinateurs et équipements informatiques. 5. Des stocks de produits à vendre. 6. Des brevets ou droits d'auteur. 7. Des investissements en actions d'autres entreprises. 8. Des comptes clients, c'est-à-dire des montants dus par des clients. 9. Des terrains possédés par l'entreprise. 10. Du mobilier de bureau. 11. Des logiciels achetés pour l'exploitation de l'entreprise. 12. Des liquidités disponibles dans la caisse. 13. Des créances fiscales, comme des remboursements d'impôts à recevoir. 14. Des outils et équipements de maintenance. 15. Des droits de propriété intellectuelle.",Placements,1250,Ce compte enregistre les placements financiers détenus par l'entreprise.
Actif,"Les actifs sont des biens ou droits possédés par une entreprise qui ont une valeur économique et peuvent générer des bénéfices. Ils peuvent être tangibles (physiques) ou intangibles (non physiques).

1. Un bâtiment utilisé comme bureau. 2. Des machines utilisées dans la production. 3. Des véhicules de livraison. 4. Du mobilier de bureau. 5. Des stocks de marchandises à vendre. 6. Des brevets pour des inventions. 7. Des logiciels utilisés pour la gestion. 8. Des terrains détenus par l'entreprise. 9. Des comptes bancaires de l'entreprise. 10. Des investissements dans d'autres entreprises. 11. Des créances clients à recevoir. 12. Des licences d'exploitation. 13. Des équipements informatiques. 14. Des œuvres d'art dans des bureaux. 15. Des marques déposées.",Terrain,1400,Ce compte enregistre la valeur des terrains détenus par l'entreprise.
Actif,"Les actifs sont des ressources détenues par une entreprise qui ont de la valeur et peuvent générer des bénéfices. Ils comprennent des biens matériels et immatériels qui contribuent à l'activité de l'entreprise.

1. Un bâtiment utilisé pour les opérations commerciales.
2. Des machines utilisées dans une usine pour fabriquer des produits.
3. Des véhicules utilisés pour la livraison de marchandises.
4. Du mobilier de bureau dans un espace de travail.
5. Des ordinateurs et des logiciels nécessaires au fonctionnement de l'entreprise.
6. Des stocks de produits prêts à être vendus.
7. Des brevets et des droits d'auteur qui protègent des inventions.
8. Des comptes bancaires contenant de l'argent.
9. Des investissements dans d'autres entreprises.
10. Des terrains possédés par l'entreprise.
11. Des créances clients, c'est-à-dire de l'argent dû par des clients.
12. Des licences commerciales qui permettent d'exercer une activité.
13. Des produits en cours de fabrication dans une usine.
14. Des contrats à long terme qui garantissent des revenus futurs.
15. Des œuvres d'art ou des objets de valeur détenus par l'entreprise.",Bâtiment,1405,Ce compte enregistre la valeur des bâtiments détenus par l'entreprise.
Actif,"Un actif est une ressource possédée par une entreprise, qui a une valeur économique et peut générer des bénéfices futurs.

1. Une machine utilisée pour fabriquer des produits. 2. Un bâtiment où l'entreprise exerce ses activités. 3. Du matériel informatique comme des ordinateurs et des serveurs. 4. Des stocks de marchandises destinées à la vente. 5. Des brevets qui protègent des inventions. 6. Des comptes bancaires contenant de l'argent. 7. Des créances clients, c'est-à-dire des sommes dues par des clients. 8. Des véhicules utilisés pour les livraisons. 9. Des meubles de bureau comme des bureaux et des chaises. 10. Des logiciels achetés pour la gestion de l'entreprise. 11. Des terrains possédés par l'entreprise. 12. Des investissements dans d'autres entreprises. 13. Des droits d'auteur sur des œuvres créatives. 14. Des outils et équipements utilisés dans la production. 15. Des licences d'exploitation pour des produits spécifiques.",Amortissement accumulé - bâtiment,1408,Ce compte enregistre l’amortissement accumulé des bâtiments.
Actif,"Un actif est une ressource détenue par une entreprise, qui a de la valeur et peut générer des bénéfices futurs.

1. Un bâtiment utilisé pour les opérations commerciales. 2. Des machines et équipements de production. 3. Des véhicules de livraison. 4. Des stocks de marchandises à vendre. 5. De l'argent en banque. 6. Des brevets ou droits de propriété intellectuelle. 7. Des investissements dans d'autres entreprises. 8. Des comptes clients (argent à recevoir). 9. Des terrains possédés par l'entreprise. 10. Des logiciels et systèmes informatiques. 11. Du mobilier de bureau. 12. Des créances clients (factures impayées). 13. Des terrains et bâtiments non utilisés. 14. Des œuvres d'art appartenant à l'entreprise. 15. Des dépôts de garantie pour des locaux ou services.",Machinerie et équipement,1410,Ce compte enregistre la valeur de la machinerie et de l’équipement.
Actif,"Un actif est un bien ou un droit que possède une entreprise, ayant une valeur économique et pouvant générer des revenus. Les actifs sont essentiels pour le fonctionnement et la croissance d'une entreprise.

1. Un bâtiment utilisé pour les opérations de l'entreprise.
2. Des machines et équipements nécessaires à la production.
3. Des véhicules pour le transport des marchandises.
4. Des stocks de produits finis ou de matières premières.
5. Des brevets ou droits de propriété intellectuelle.
6. Des comptes bancaires avec des fonds disponibles.
7. Des créances clients, représentant de l'argent dû à l'entreprise.
8. Des terrains possédés pour l'expansion future.
9. Des logiciels achetés pour améliorer l'efficacité opérationnelle.
10. Des investissements en actions d'autres entreprises.
11. Des meubles et agencements dans un bureau.
12. Des licences pour exploiter un produit ou service.
13. Des produits en cours de fabrication.
14. Des dépôts de garantie pour des contrats.
15. Des droits d'auteur sur des œuvres créées par l'entreprise.",Amortissement accumulé - machinerie et équipement,1413,Ce compte enregistre l’amortissement accumulé des équipements.
Actif,"Un actif est un bien ou un droit possédé par une entreprise, qui a de la valeur et peut être utilisé pour générer des revenus.

1. Un bâtiment utilisé comme bureau.
2. Des machines pour produire des biens.
3. Un véhicule de livraison pour les produits.
4. Des ordinateurs pour le personnel.
5. Un brevet sur une invention.
6. Des stocks de marchandises dans un entrepôt.
7. Des comptes clients, représentant l'argent à recevoir.
8. De l'argent en banque pour les opérations courantes.
9. Un terrain où se trouve l'usine.
10. Des meubles et équipements de bureau.
11. Des logiciels achetés pour la gestion de l'entreprise.
12. Des investissements dans d'autres entreprises.
13. Un fonds de roulement pour les dépenses quotidiennes.
14. Des licences d'exploitation de produits.
15. Des œuvres d'art détenues par l'entreprise.",Matériel roulant,1420,Ce compte enregistre la valeur des véhicules et équipements roulants.
Actif,"Un actif est un bien ou une ressource détenue par une entreprise qui a de la valeur et peut générer des bénéfices futurs.

1. Un immeuble utilisé pour les opérations de l'entreprise. 2. Des machines utilisées pour la production. 3. Du stock de marchandises prêt à être vendu. 4. Un véhicule de livraison appartenant à l'entreprise. 5. Des brevets ou des droits d'auteur. 6. Des investissements en actions d'autres entreprises. 7. Un ordinateur ou un équipement informatique. 8. Des créances clients, c'est-à-dire des sommes dues par des clients. 9. Des liquidités en banque. 10. Des terrains possédés par l'entreprise. 11. Des meubles de bureau. 12. Un logiciel utilisé pour la gestion des ventes. 13. Des licences d'exploitation. 14. Des dépôts de garantie pour des contrats. 15. Des œuvres d'art détenues par l'entreprise comme investissement.",Amortissement accumulé - matériel roulant,1423,Ce compte enregistre l’amortissement accumulé des équipements roulants.
Actif,"Les actifs sont des biens et droits possédés par une entreprise, qui ont de la valeur et peuvent être utilisés pour générer des bénéfices.

1. Un bâtiment utilisé comme bureau par l'entreprise.
2. Des machines utilisées pour produire des biens.
3. Des véhicules pour la livraison des produits.
4. Un brevet qui protège une invention.
5. Des stocks de produits prêts à être vendus.
6. Des comptes bancaires contenant de l'argent.
7. Des créances clients, c'est-à-dire des montants dus par des clients.
8. Des terrains achetés pour développer des projets futurs.
9. Un logiciel acheté pour gérer les opérations de l'entreprise.
10. Des meubles et équipements de bureau.
11. Des investissements dans d'autres entreprises.
12. Des droits d'auteur sur des œuvres créatives.
13. Des équipements informatiques comme des ordinateurs et serveurs.
14. Des licences nécessaires pour exercer certaines activités.
15. Des œuvres d'art détenues par l'entreprise.",Mobilier et équipement de bureau,1430,Ce compte enregistre la valeur des meubles et équipements de bureau.
Actif,"Un actif est un bien ou une ressource possédée par une entreprise qui a de la valeur et peut générer des bénéfices futurs.

1. Un bâtiment utilisé pour les opérations de l'entreprise. 2. Des machines et équipements pour la production. 3. Des stocks de produits destinés à la vente. 4. Un véhicule utilisé pour les livraisons. 5. Des brevets qui protègent des inventions. 6. Des terrains possédés par l'entreprise. 7. Des meubles et agencements dans les bureaux. 8. Des logiciels utilisés pour la gestion. 9. Des comptes bancaires avec des fonds disponibles. 10. Des investissements dans d'autres entreprises. 11. Des créances clients qui doivent être réglées. 12. Des droits d'auteur sur des œuvres créatives. 13. Des matériaux en cours de fabrication. 14. Des licences de fonctionnement ou d'exploitation. 15. Des dépôts de garantie pour des contrats.",Amortissement accumulé - mobilier et équipement de bureau,1433,Ce compte enregistre l’amortissement accumulé du mobilier et équipement de bureau.
Actif,"Un actif est un bien ou un droit possédé par une entreprise, ayant une valeur économique et pouvant générer des bénéfices futurs.

1. Une machine utilisée pour la production. 2. Un bâtiment où l'entreprise opère. 3. Des véhicules pour le transport. 4. Des ordinateurs pour le bureau. 5. Des stocks de produits à vendre. 6. Des brevets pour des inventions. 7. Des créances clients (argent dû par les clients). 8. Des investissements financiers dans d'autres entreprises. 9. Des terrains possédés par l'entreprise. 10. Du matériel de bureau, comme des meubles et des fournitures. 11. Des logiciels achetés pour gérer l'entreprise. 12. Des droits d'auteur sur des œuvres créatives. 13. Des dépôts bancaires. 14. Des licences permettant l'exploitation de certaines activités. 15. Des équipements spécialisés pour des tâches spécifiques.",Entrepôt,1440,Ce compte enregistre la valeur des entrepôts détenus par l'entreprise.
Actif,"Un actif est un bien ou un droit détenu par une entreprise qui a de la valeur et peut générer des bénéfices futurs.

1. Un bâtiment utilisé pour les opérations de l'entreprise. 2. Des machines et équipements de production. 3. Des véhicules pour le transport de marchandises. 4. Des stocks de produits à vendre. 5. Des brevets qui protègent des inventions. 6. Des créances clients, c'est-à-dire de l'argent que les clients doivent à l'entreprise. 7. Des liquidités en banque, comme de l'argent sur un compte courant. 8. Des logiciels achetés pour faciliter les opérations. 9. Du mobilier de bureau comme des bureaux et des chaises. 10. Des terrains possédés par l'entreprise. 11. Des investissements dans d'autres entreprises. 12. Des droits d'auteur sur des œuvres créatives. 13. Des contrats de location à long terme. 14. Des frais payés d'avance pour des services futurs. 15. Des équipements informatiques comme des ordinateurs et serveurs.",Amortissement accumulé - entrepôt,1443,Ce compte enregistre l’amortissement accumulé des entrepôts.
Actif,"Les actifs sont des biens et droits possédés par une entreprise, pouvant être utilisés pour générer des revenus.

1. Un bâtiment utilisé pour les opérations de l'entreprise. 2. Des machines utilisées pour la production. 3. Du stock de marchandises prêt à être vendu. 4. Des véhicules pour la livraison des produits. 5. Des brevets qui protègent des inventions. 6. Des comptes bancaires contenant des liquidités. 7. Des meubles et équipements de bureau. 8. Des logiciels nécessaires au fonctionnement de l'entreprise. 9. Des investissements dans d'autres entreprises. 10. Des terrains détenus pour la construction future. 11. Des créances clients, c'est-à-dire des factures à recevoir. 12. Des droits d'auteur pour des œuvres protégées. 13. Des licences permettant d'exploiter un produit. 14. Des équipements informatiques pour le personnel. 15. Des stocks de matières premières utilisées dans la production.",Équipement informatique,1445,Ce compte enregistre la valeur des équipements informatiques.
Actif,"Les actifs sont des ressources possédées par une entreprise, qui ont une valeur économique et peuvent générer des bénéfices.

1. Un bâtiment utilisé pour les opérations de l'entreprise. 2. Des machines pour la production de biens. 3. Des véhicules pour le transport des marchandises. 4. Des ordinateurs utilisés par les employés. 5. Des stocks de produits prêts à être vendus. 6. Des brevets qui protègent des inventions. 7. Des terrains appartenant à l'entreprise. 8. Des investissements financiers dans d'autres sociétés. 9. De l'argent en caisse ou sur un compte bancaire. 10. Des créances clients, représentant des ventes à crédit. 11. Des logiciels achetés pour améliorer l'efficacité. 12. Des meubles et équipements de bureau. 13. Des matériaux utilisés pour la fabrication. 14. Des licences d'exploitation pour des franchises. 15. Des droits d'auteur sur des œuvres créatives.",Amortissement accumulé - équipement informatique,1448,Ce compte enregistre l’amortissement accumulé des équipements informatiques.
Actif,"Les actifs sont des biens ou des ressources possédés par une entreprise, qui ont de la valeur et peuvent générer des bénéfices futurs.

1. Un bâtiment utilisé pour les opérations de l'entreprise.
2. Des machines utilisées pour la production de biens.
3. Un véhicule de livraison appartenant à l'entreprise.
4. Des stocks de marchandises disponibles à la vente.
5. Des brevets et droits de propriété intellectuelle.
6. Des comptes bancaires contenant des fonds.
7. Des investissements en actions d'autres entreprises.
8. Des logiciels ou systèmes informatiques utilisés par l'entreprise.
9. Du matériel de bureau comme des ordinateurs et des imprimantes.
10. Des créances clients, c'est-à-dire des paiements dus à l'entreprise.
11. Des terrains possédés par l'entreprise pour son utilisation.
12. Des équipements de sécurité pour protéger les locaux.
13. Des meubles de bureau comme des chaises et des tables.
14. Des contrats ou accords commerciaux en cours de validité.
15. Des droits d'utilisation de terrains ou bâtiments en location.",Logiciels,1450,Ce compte enregistre la valeur des logiciels détenus par l'entreprise.
Actif,"Un actif est un bien ou un droit que possède une entreprise et qui peut être utilisé pour générer des bénéfices. Ces éléments ont de la valeur et peuvent être convertis en liquidités ou utilisés pour les opérations de l'entreprise.

1. Un bâtiment utilisé comme bureau. 2. Des machines industrielles pour la production. 3. Un véhicule de livraison. 4. Des stocks de marchandises à vendre. 5. Des ordinateurs et équipements informatiques. 6. Des brevets et droits d'auteur. 7. Un terrain appartenant à l'entreprise. 8. Des créances clients, c'est-à-dire des montants dus par des clients. 9. Des investissements en actions d'autres entreprises. 10. Des logiciels achetés pour améliorer la productivité. 11. Des meubles de bureau. 12. Un compte bancaire avec des fonds. 13. Des actions de sociétés cotées. 14. Un droit de location sur un bien immobilier. 15. Des contrats à long terme avec des clients.",Amortissement accumulé - logiciels,1453,Ce compte enregistre l’amortissement accumulé des logiciels.
